Nr.,Categorie,Produs,Producător,Țară,Preț (MDL)
1,Mamă și Copil,Scaunel prima pappa balloon beige+diner savana  azzur,,Italia,"75,01"
2,Sănătate - Medicamente OTC,Aciclovir caps. 200 mg N10x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"61,04"
3,Sănătate - Medicamente OTC,Algodex sol. inj./conc./sol.perf. 25mg/ml 2ml N10 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"114,27"
4,Sănătate - Medicamente OTC,Ambroxol comp.30mg N20 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"24,14"
5,Sănătate - Medicamente OTC,Analgina-BP comp. 500mg N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"10,42"
6,Sănătate - Medicamente OTC,Analgina-BP sol. inj. 500 mg/ml 2ml N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"27,09"
7,Sănătate - Medicamente OTC,Analgina-BP sol. inj. 500 mg/ml 2ml N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"27,19"
8,Sănătate - Medicamente OTC,Apa p/u injectii solv. 5 ml N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"26,53"
9,Sănătate - Medicamente OTC,ArtroFort Articulatii caps. N120 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,406
10,Vitamine și Minerale,Berberine 500mg + Chromium 40µg caps. N60 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"539,75"
11,Sănătate - Medicamente OTC,Carbactiv caps. 200mg N100 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"61,6"
12,Sănătate - Medicamente OTC,Carbodetox comp. 250mg N10 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"3,27"
13,Sănătate - Medicamente OTC,Citramon-BP comp. N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"5,1"
14,Sănătate - Medicamente OTC,Citramon-BP Forte comp. N10x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"25,7"
15,Sănătate - Medicamente OTC,Digestiv comp. gastorezist.10000 UA N10x3 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"51,8"
16,Sănătate - Medicamente OTC,Dimedrol-BP sol. inj. 10 mg/ml 1ml N5x2 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,16
17,Sănătate - Medicamente OTC,Famotidin-BP comp. 40 mg  N20 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"34,77"
18,Sănătate - Medicamente OTC,Famotidin-BP comp.20 mg  N20(Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"17,14"
19,Sănătate - Parafarmaceutice,Famotin pulb+solv./sol.inj.5ml 20 mg N2x5 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"217,98"
20,Sănătate - Medicamente OTC,Hepaurs caps. 250 mg N10x6 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"303,92"
21,Sănătate - Medicamente OTC,Hepaurs caps. 300 mg N10x6(Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"351,6"
22,Vitamine și Minerale,Immuno Veda comp. N30,Konark Ayurveda,India,140
23,Vitamine și Minerale,Join Support Ultra pulbere 14g N30 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,1050
24,Vitamine și Minerale,Join Support Ultra pulbere 14g N30 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"1047,5"
25,Vitamine și Minerale,Join Support Ultra pulbere 14g N30 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"1045,5"
26,Sănătate - Medicamente OTC,Lansoprazol caps.30 mg N10x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"103,76"
27,Vitamine și Minerale,Lercanid-BP comp. filmate 20mg N10x3 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"83,15"
28,Sănătate - Medicamente OTC,Lidocaina sol. inj. 20 mg/ml  2 ml N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"14,68"
29,Sănătate - Medicamente OTC,Loperamid caps.2 mg N10 (Grindeks),Grindeks SA,Letonia,"32,47"
30,Sănătate - Medicamente OTC,Lornoxicam-BP pulbere pentru sol. inj.8mg N5,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"173,27"
31,Sănătate - Medicamente OTC,Metoclopramida comp. 10 mg N20x3 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"69,82"
32,Sănătate - Medicamente OTC,"Natriu clorid-BP sol. inj. 0,9% 5ml N5x2 (Balkan)","Balkan Pharmaceuticals SRL, SC",Republica Moldova,"20,03"
33,Sănătate - Medicamente OTC,Nimesulid comp.100 mg N10x2 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"27,02"
34,Sănătate - Medicamente OTC,OptiVit BP Essential caps. moi N10x3 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,182
35,Vitamine și Minerale,Pancreatol 1000 UI comp. gastrorezistente N50 Balkan,"Balkan Pharmaceuticals SRL, SC",Republica Moldova,28
36,Sănătate - Medicamente OTC,Pantoprazol-BP pulb. pentru sol. inj. 40 mg N10 (Balkan),"Balkan Pharmaceuticals SRL, SC",Republica Moldova,"363,31"
37,Sănătate - Medicamente OTC,"Panzimed caps. gastrorez. 10000 UA (0,25g)  N10x3 (Balkan)","Balkan Pharmaceuticals SRL, SC",Republica Moldova,"38,47"
